                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.8277,                 1.7504,                 2.2663,                  1.719,                 2.3947,                 2.0664,                0.50534,                 0.4598,                0.41614,                 0.2387,                 1.8188,                 1.8822,                 2.4528,                 1.6167,                 2.7371,                 2.3984,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.7516,                 1.6671,                 2.1702,                 1.7148,                 2.3924,                 2.1799,                0.18601,                0.08333,                0.05575,                0.02581,                 2.2867,                 5.5963,                 3.2425,                  1.977,                 4.4585,                 3.0122,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.7572,                 1.5707,                 2.1542,                 1.7635,                 2.2077,                 2.1479,                0.35607,                0.28333,                0.24536,                0.13989,                 1.9064,                 1.9892,                 2.4775,                   1.92,                 2.8205,                 2.6052,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.8134,                 1.6086,                 2.1781,                 1.7114,                 2.2091,                  2.102,                0.21984,                    0.2,                0.13178,                0.07352,                 2.0651,                 3.9915,                 2.7039,                 2.0729,                 4.1147,                 2.8159,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.7017,                  1.518,                 2.0766,                 1.6299,                 2.0886,                 2.0321,                0.44577,                0.26814,                0.30061,                0.17334,                 1.7211,                 2.2344,                 2.3779,                 1.8165,                 2.7364,                 2.5282,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.6286,                 1.4212,                 2.0038,                 1.6824,                 2.0206,                 2.0268,                 0.4667,                0.63333,                0.49892,                 0.2768,                  1.671,                 1.9174,                 2.3295,                 1.6564,                 2.2924,                 2.3428,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.6456,                 1.4938,                  2.051,                 1.6255,                 1.9993,                 2.0006,                0.54487,                0.46667,                0.54276,                0.33072,                 1.6889,                 1.4709,                 2.2919,                 1.4904,                 2.0197,                 2.1389,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.6103,                 1.4502,                 1.9821,                  1.581,                 1.9691,                 1.9416,                0.58586,                0.53333,                0.59471,                0.35627,                 1.5629,                 1.3982,                 2.1489,                 1.5337,                 2.1528,                 2.1875,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.5203,                 1.2915,                 1.9213,                 1.4996,                 1.8745,                 1.9109,                0.52068,                 0.5794,                0.58712,                0.34425,                 1.6068,                 1.4933,                 2.1613,                 1.5678,                 2.0222,                 2.1147,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.4956,                 1.3105,                 1.8877,                 1.4956,                 1.7875,                 1.8698,                0.58097,                    0.5,                0.56626,                0.34581,                 1.5165,                 1.3096,                 2.0448,                 1.4269,                 1.9672,                 1.9488,               0.001703,               0.001703,               0.001703
                     33,                 1.5415,                 1.3404,                 1.9447,                 1.5442,                 1.8342,                 1.9012,                0.53941,                0.63333,                0.61378,                0.37042,                 1.3965,                 1.5215,                 1.9455,                 1.5187,                 1.8889,                 2.1119,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.5548,                 1.3765,                 1.9709,                 1.5888,                 1.8573,                  1.962,                0.63493,                0.52183,                0.61484,                 0.3593,                 1.5023,                 1.3844,                 2.0331,                  1.553,                 1.8573,                 2.1183,              0.0016832,              0.0016832,              0.0016832
